index, start time, end time, latency
213, 1659546301.311323, 1659546301.314994, 3671
214, 1659546301.415773, 1659546301.418917, 3144
215, 1659546301.519695, 1659546301.522792, 3097
216, 1659546301.623175, 1659546301.626378, 3203
217, 1659546301.727467, 1659546301.730699, 3232
218, 1659546301.832174, 1659546301.835328, 3154
219, 1659546301.935454, 1659546301.938869, 3415
220, 1659546302.40352, 1659546302.44004, 3652
221, 1659546302.145515, 1659546302.148807, 3292
222, 1659546302.249748, 1659546302.253349, 3601
223, 1659546302.354046, 1659546302.357487, 3441
224, 1659546302.458122, 1659546302.461418, 3296
225, 1659546302.562973, 1659546302.566176, 3203
226, 1659546302.667604, 1659546302.670879, 3275
227, 1659546302.772355, 1659546302.775632, 3277
228, 1659546302.876020, 1659546302.879109, 3089
229, 1659546302.980090, 1659546302.983422, 3332
230, 1659546303.84893, 1659546303.88368, 3475
231, 1659546303.189946, 1659546303.193773, 3827
232, 1659546303.295100, 1659546303.298374, 3274
233, 1659546303.398828, 1659546303.402625, 3797
234, 1659546303.504194, 1659546303.507226, 3032
235, 1659546303.607426, 1659546303.610961, 3535
236, 1659546303.711506, 1659546303.714335, 2829
237, 1659546303.815814, 1659546303.818946, 3132
238, 1659546303.920347, 1659546303.923489, 3142
239, 1659546304.25032, 1659546304.28477, 3445
240, 1659546304.130011, 1659546304.133534, 3523
241, 1659546304.234193, 1659546304.237818, 3625
242, 1659546304.338115, 1659546304.341299, 3184
243, 1659546304.442713, 1659546304.445786, 3073
244, 1659546304.547377, 1659546304.550603, 3226
245, 1659546304.652075, 1659546304.655549, 3474
246, 1659546304.757004, 1659546304.760005, 3001
247, 1659546304.861505, 1659546304.865015, 3510
248, 1659546304.965657, 1659546304.969106, 3449
249, 1659546305.70652, 1659546305.73697, 3045
250, 1659546305.175160, 1659546305.178753, 3593
251, 1659546305.280216, 1659546305.283368, 3152
252, 1659546305.383980, 1659546305.387268, 3288
253, 1659546305.488237, 1659546305.491617, 3380
254, 1659546305.593056, 1659546305.596312, 3256
255, 1659546305.697454, 1659546305.700310, 2856
256, 1659546305.801855, 1659546305.804881, 3026
257, 1659546305.905990, 1659546305.909409, 3419
258, 1659546306.10880, 1659546306.13848, 2968
259, 1659546306.115313, 1659546306.118781, 3468
260, 1659546306.219408, 1659546306.223223, 3815
261, 1659546306.324706, 1659546306.327871, 3165
262, 1659546306.428918, 1659546306.432260, 3342
263, 1659546306.533819, 1659546306.537372, 3553
264, 1659546306.638910, 1659546306.642363, 3453
265, 1659546306.743440, 1659546306.746846, 3406
266, 1659546306.848344, 1659546306.851532, 3188
267, 1659546306.952255, 1659546306.955129, 2874
268, 1659546307.56586, 1659546307.59710, 3124
269, 1659546307.161178, 1659546307.164205, 3027
270, 1659546307.265721, 1659546307.268969, 3248
271, 1659546307.369237, 1659546307.372066, 2829
272, 1659546307.472641, 1659546307.475712, 3071
273, 1659546307.577211, 1659546307.580398, 3187
274, 1659546307.681939, 1659546307.685103, 3164
275, 1659546307.786392, 1659546307.789509, 3117
276, 1659546307.890228, 1659546307.893065, 2837
277, 1659546307.993987, 1659546307.997258, 3271
278, 1659546308.98811, 1659546308.101685, 2874
279, 1659546308.203247, 1659546308.206646, 3399
280, 1659546308.308095, 1659546308.311338, 3243
281, 1659546308.412031, 1659546308.415216, 3185
282, 1659546308.516777, 1659546308.520049, 3272
283, 1659546308.621601, 1659546308.624541, 2940
284, 1659546308.725064, 1659546308.728418, 3354
285, 1659546308.829928, 1659546308.833196, 3268
286, 1659546308.934789, 1659546308.938494, 3705
287, 1659546309.40008, 1659546309.43077, 3069
288, 1659546309.144564, 1659546309.147680, 3116
289, 1659546309.248764, 1659546309.252733, 3969
290, 1659546309.353522, 1659546309.356588, 3066
291, 1659546309.458129, 1659546309.461391, 3262
292, 1659546309.562934, 1659546309.566004, 3070
293, 1659546309.667478, 1659546309.670792, 3314
294, 1659546309.771532, 1659546309.774619, 3087
295, 1659546309.875034, 1659546309.878349, 3315
296, 1659546309.978887, 1659546309.981816, 2929
297, 1659546310.83294, 1659546310.86353, 3059
298, 1659546310.187870, 1659546310.191524, 3654
299, 1659546310.293006, 1659546310.296588, 3582
300, 1659546310.396878, 1659546310.399990, 3112
301, 1659546310.500933, 1659546310.503701, 2768
302, 1659546310.605236, 1659546310.608403, 3167
303, 1659546310.709890, 1659546310.713220, 3330
304, 1659546310.814716, 1659546310.817642, 2926
305, 1659546310.919050, 1659546310.922312, 3262
306, 1659546311.23709, 1659546311.26402, 2693
307, 1659546311.127837, 1659546311.130503, 2666
308, 1659546311.230990, 1659546311.234095, 3105
309, 1659546311.335570, 1659546311.338264, 2694
310, 1659546311.439514, 1659546311.442248, 2734
311, 1659546311.543728, 1659546311.546785, 3057
312, 1659546311.647699, 1659546311.650387, 2688
313, 1659546311.750882, 1659546311.753941, 3059
314, 1659546311.855356, 1659546311.858021, 2665
315, 1659546311.959431, 1659546311.961952, 2521
316, 1659546312.63404, 1659546312.66152, 2748
317, 1659546312.167590, 1659546312.170540, 2950
318, 1659546312.271888, 1659546312.275109, 3221
319, 1659546312.375536, 1659546312.378542, 3006
320, 1659546312.478930, 1659546312.482022, 3092
321, 1659546312.583517, 1659546312.586573, 3056
322, 1659546312.688068, 1659546312.691317, 3249
