1,4,"enp0s8",1659692178.044360,"1.5.5 (417daa7 - Jul 15 2022 20:33:42)","1.7.3 (92ce3808)"
999,4,"enp0s8",1659692179.259188,"tot",2,"10.0.1.11","10.0.0.11",15972,242,"99.178.354.0"
999,4,"enp0s8",1659692179.259188,"tot",2,"10.0.0.12","8.8.8.8",148,2,"99.178.376.85"
999,4,"enp0s8",1659692179.259188,"tot",2,"10.0.0.11","10.0.1.11",560670,413,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.12","10.0.0.1",716,10,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.1.11","10.0.0.11",22460,340,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.11","10.0.0.1",358,5,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.1","10.0.0.11",8600,36,"99.178.354.340"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.12","10.0.0.1",10496,62,"99.178.354.340"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.11","10.0.0.1",5248,31,"99.178.354.340"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.1","10.0.0.11",626,8,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.1","10.0.0.12",16952,68,"99.178.354.340"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.12","10.0.1.12",96650,84,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.11","8.8.8.8",148,2,"99.178.376.85"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.1.12","10.0.0.12",4516,68,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.11","10.0.1.11",739137,548,"99.178.354.0"
999,4,"enp0s8",1659692180.259362,"tot",3,"10.0.0.1","10.0.0.12",1252,16,"99.178.354.0"
999,4,"enp0s8",1659692181.259683,"tot",4,"10.0.1.11","10.0.0.11",29634,449,"99.178.354.0"
999,4,"enp0s8",1659692181.259683,"tot",4,"10.0.0.12","10.0.1.12",977088,720,"99.178.354.0"
999,4,"enp0s8",1659692181.259683,"tot",4,"10.0.1.12","10.0.0.12",25464,382,"99.178.354.0"
999,4,"enp0s8",1659692181.259683,"tot",4,"10.0.0.11","10.0.1.11",1058160,760,"99.178.354.0"
999,4,"enp0s8",1659692182.259729,"tot",5,"10.0.1.11","10.0.0.11",28248,428,"99.178.354.0"
