index, start time, end time, latency
43, 1659518229.439542, 1659518229.443205, 3663
44, 1659518229.545585, 1659518229.549254, 3669
45, 1659518229.650084, 1659518229.653872, 3788
46, 1659518229.754435, 1659518229.757870, 3435
47, 1659518229.860210, 1659518229.864628, 4418
48, 1659518229.966061, 1659518229.969797, 3736
49, 1659518230.72137, 1659518230.75797, 3660
50, 1659518230.176347, 1659518230.180033, 3686
51, 1659518230.282367, 1659518230.285853, 3486
52, 1659518230.386496, 1659518230.389772, 3276
53, 1659518230.491577, 1659518230.495424, 3847
54, 1659518230.597782, 1659518230.601199, 3417
55, 1659518230.702236, 1659518230.705557, 3321
56, 1659518230.807901, 1659518230.811056, 3155
57, 1659518230.911584, 1659518230.914805, 3221
58, 1659518231.17101, 1659518231.20353, 3252
59, 1659518231.122637, 1659518231.126255, 3618
60, 1659518231.226931, 1659518231.230174, 3243
61, 1659518231.331361, 1659518231.334844, 3483
62, 1659518231.435455, 1659518231.439124, 3669
63, 1659518231.541458, 1659518231.545410, 3952
64, 1659518231.646349, 1659518231.649719, 3370
65, 1659518231.750163, 1659518231.753191, 3028
66, 1659518231.855572, 1659518231.858880, 3308
67, 1659518231.960028, 1659518231.963281, 3253
68, 1659518232.65662, 1659518232.69065, 3403
69, 1659518232.169291, 1659518232.172682, 3391
70, 1659518232.275032, 1659518232.277872, 2840
71, 1659518232.378081, 1659518232.381251, 3170
72, 1659518232.482868, 1659518232.486709, 3841
73, 1659518232.589103, 1659518232.592367, 3264
74, 1659518232.693064, 1659518232.696401, 3337
75, 1659518232.798778, 1659518232.802151, 3373
76, 1659518232.903215, 1659518232.906267, 3052
77, 1659518233.8284, 1659518233.11724, 3440
78, 1659518233.114092, 1659518233.117218, 3126
79, 1659518233.217674, 1659518233.221099, 3425
80, 1659518233.322690, 1659518233.326694, 4004
81, 1659518233.426972, 1659518233.430263, 3291
82, 1659518233.531738, 1659518233.535476, 3738
83, 1659518233.636934, 1659518233.640495, 3561
84, 1659518233.740825, 1659518233.743959, 3134
85, 1659518233.845430, 1659518233.848313, 2883
86, 1659518233.948969, 1659518233.951640, 2671
87, 1659518234.53242, 1659518234.56520, 3278
88, 1659518234.158022, 1659518234.160977, 2955
89, 1659518234.262274, 1659518234.265190, 2916
90, 1659518234.365409, 1659518234.368456, 3047
91, 1659518234.469559, 1659518234.472578, 3019
92, 1659518234.574103, 1659518234.577175, 3072
93, 1659518234.677620, 1659518234.680620, 3000
94, 1659518234.782105, 1659518234.785174, 3069
95, 1659518234.885865, 1659518234.888984, 3119
96, 1659518234.990466, 1659518234.993518, 3052
97, 1659518235.95068, 1659518235.98157, 3089
98, 1659518235.198440, 1659518235.201538, 3098
99, 1659518235.303137, 1659518235.305980, 2843
100, 1659518235.406670, 1659518235.409811, 3141
101, 1659518235.511291, 1659518235.514277, 2986
102, 1659518235.614541, 1659518235.617207, 2666
103, 1659518235.718184, 1659518235.720882, 2698
104, 1659518235.822322, 1659518235.825195, 2873
105, 1659518235.926736, 1659518235.929210, 2474
106, 1659518236.30752, 1659518236.33646, 2894
107, 1659518236.135189, 1659518236.137850, 2661
108, 1659518236.239237, 1659518236.242284, 3047
109, 1659518236.343817, 1659518236.346799, 2982
110, 1659518236.447319, 1659518236.450428, 3109
111, 1659518236.551911, 1659518236.554859, 2948
112, 1659518236.656378, 1659518236.659303, 2925
113, 1659518236.760802, 1659518236.763515, 2713
114, 1659518236.863679, 1659518236.866648, 2969
115, 1659518236.967535, 1659518236.970456, 2921
116, 1659518237.71921, 1659518237.74644, 2723
117, 1659518237.176135, 1659518237.179180, 3045
118, 1659518237.280717, 1659518237.283779, 3062
119, 1659518237.384405, 1659518237.387195, 2790
120, 1659518237.488518, 1659518237.491564, 3046
121, 1659518237.591788, 1659518237.595020, 3232
122, 1659518237.695375, 1659518237.698302, 2927
123, 1659518237.799787, 1659518237.802471, 2684
124, 1659518237.903458, 1659518237.906113, 2655
125, 1659518238.7598, 1659518238.10346, 2748
126, 1659518238.111820, 1659518238.114646, 2826
127, 1659518238.215347, 1659518238.218360, 3013
128, 1659518238.319850, 1659518238.323669, 3819
129, 1659518238.423912, 1659518238.427198, 3286
