index, start time, end time, latency
0, 1659541059.482794, 1659541059.485697, 2903
1, 1659541059.586566, 1659541059.589616, 3050
2, 1659541059.689826, 1659541059.692538, 2712
3, 1659541059.792791, 1659541059.796010, 3219
4, 1659541059.896996, 1659541059.900140, 3144
5, 1659541060.2446, 1659541060.5579, 3133
6, 1659541060.106717, 1659541060.109719, 3002
7, 1659541060.210042, 1659541060.213203, 3161
8, 1659541060.313858, 1659541060.317643, 3785
9, 1659541060.418485, 1659541060.421945, 3460
10, 1659541060.524342, 1659541060.527592, 3250
11, 1659541060.629637, 1659541060.632735, 3098
12, 1659541060.735023, 1659541060.738497, 3474
13, 1659541060.839683, 1659541060.843653, 3970
14, 1659541060.945719, 1659541060.949343, 3624
15, 1659541061.49641, 1659541061.52317, 2676
16, 1659541061.153291, 1659541061.156706, 3415
17, 1659541061.257860, 1659541061.261231, 3371
18, 1659541061.361490, 1659541061.364725, 3235
19, 1659541061.467063, 1659541061.470172, 3109
20, 1659541061.570860, 1659541061.573879, 3019
21, 1659541061.676192, 1659541061.679255, 3063
22, 1659541061.781573, 1659541061.784844, 3271
23, 1659541061.885579, 1659541061.888879, 3300
24, 1659541061.991234, 1659541061.994606, 3372
25, 1659541062.95701, 1659541062.99451, 3750
26, 1659541062.201791, 1659541062.204804, 3013
27, 1659541062.305037, 1659541062.308363, 3326
28, 1659541062.409644, 1659541062.413477, 3833
29, 1659541062.515832, 1659541062.519320, 3488
30, 1659541062.620930, 1659541062.624201, 3271
31, 1659541062.726545, 1659541062.729817, 3272
32, 1659541062.830565, 1659541062.833639, 3074
33, 1659541062.935448, 1659541062.938923, 3475
34, 1659541063.41226, 1659541063.44071, 2845
35, 1659541063.146162, 1659541063.149182, 3020
36, 1659541063.251255, 1659541063.254232, 2977
37, 1659541063.354698, 1659541063.357825, 3127
38, 1659541063.460169, 1659541063.463255, 3086
39, 1659541063.563500, 1659541063.566839, 3339
40, 1659541063.668154, 1659541063.671706, 3552
41, 1659541063.772596, 1659541063.776031, 3435
42, 1659541063.876566, 1659541063.880150, 3584
43, 1659541063.982450, 1659541063.985120, 2670
44, 1659541064.85805, 1659541064.88885, 3080
45, 1659541064.189101, 1659541064.192042, 2941
46, 1659541064.293124, 1659541064.296199, 3075
47, 1659541064.396473, 1659541064.399521, 3048
48, 1659541064.501822, 1659541064.504801, 2979
49, 1659541064.605863, 1659541064.608714, 2851
50, 1659541064.711078, 1659541064.713971, 2893
51, 1659541064.814710, 1659541064.818050, 3340
52, 1659541064.919522, 1659541064.922567, 3045
53, 1659541065.24922, 1659541065.27917, 2995
54, 1659541065.129471, 1659541065.132925, 3454
55, 1659541065.233591, 1659541065.237140, 3549
56, 1659541065.337734, 1659541065.340816, 3082
57, 1659541065.442753, 1659541065.445600, 2847
58, 1659541065.547935, 1659541065.550701, 2766
59, 1659541065.652667, 1659541065.655286, 2619
60, 1659541065.757663, 1659541065.761939, 4276
61, 1659541065.862201, 1659541065.865459, 3258
62, 1659541065.967733, 1659541065.970975, 3242
63, 1659541066.72223, 1659541066.75087, 2864
64, 1659541066.177412, 1659541066.180138, 2726
65, 1659541066.281047, 1659541066.283832, 2785
66, 1659541066.384492, 1659541066.387131, 2639
67, 1659541066.489432, 1659541066.492399, 2967
68, 1659541066.592904, 1659541066.596084, 3180
69, 1659541066.698401, 1659541066.701311, 2910
70, 1659541066.801653, 1659541066.804442, 2789
71, 1659541066.905617, 1659541066.908470, 2853
72, 1659541067.10752, 1659541067.13488, 2736
73, 1659541067.114376, 1659541067.117147, 2771
74, 1659541067.219486, 1659541067.222764, 3278
75, 1659541067.324266, 1659541067.327358, 3092
76, 1659541067.429048, 1659541067.431874, 2826
77, 1659541067.534204, 1659541067.537333, 3129
78, 1659541067.637977, 1659541067.640797, 2820
79, 1659541067.743098, 1659541067.746758, 3660
80, 1659541067.847250, 1659541067.850800, 3550
81, 1659541067.952927, 1659541067.955807, 2880
82, 1659541068.58141, 1659541068.61052, 2911
83, 1659541068.162955, 1659541068.166437, 3482
84, 1659541068.267099, 1659541068.270753, 3654
85, 1659541068.371195, 1659541068.374358, 3163
86, 1659541068.476353, 1659541068.479524, 3171
87, 1659541068.581832, 1659541068.584892, 3060
88, 1659541068.687302, 1659541068.690571, 3269
89, 1659541068.792902, 1659541068.797342, 4440
90, 1659541068.898367, 1659541068.901331, 2964
